,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
175,01-2021,All Sexes,Illinois,26711.0,27212.0,0.0,274037.0
176,01-2021,All Sexes,Indiana,22726.0,21417.0,11.0,180776.0
177,01-2021,All Sexes,Iowa,7726.0,6527.0,0.0,75472.0
178,01-2021,All Sexes,Kansas,8519.0,6968.0,0.0,70044.0
179,01-2021,All Sexes,Kentucky,19922.0,19289.0,0.0,139535.0
180,01-2021,All Sexes,Louisiana,16209.0,13009.0,0.0,133956.0
181,01-2021,All Sexes,Maine,2996.0,2638.0,0.0,38080.0
182,01-2021,All Sexes,Maryland,13758.0,12606.0,0.0,130935.0
183,01-2021,All Sexes,Massachusetts,12085.0,12418.0,11.0,142395.0
184,01-2021,All Sexes,Michigan,34040.0,29529.0,12.0,262687.0
185,01-2021,All Sexes,Minnesota,11497.0,9738.0,0.0,115103.0
186,01-2021,All Sexes,Mississippi,13810.0,12484.0,0.0,93703.0
187,01-2021,All Sexes,Missouri,20476.0,17855.0,12.0,175124.0
188,01-2021,All Sexes,Montana,3879.0,3199.0,0.0,28756.0
189,01-2021,All Sexes,Nebraska,4204.0,4235.0,0.0,42681.0
190,01-2021,All Sexes,Nevada,13104.0,13608.0,0.0,78192.0
191,01-2021,All Sexes,New Hampshire,2408.0,2123.0,0.0,30703.0
192,01-2021,All Sexes,New Jersey,21553.0,19067.0,0.0,187272.0
193,01-2021,All Sexes,New Mexico,8648.0,7386.0,0.0,57305.0
194,01-2021,All Sexes,New York,32512.0,29218.0,0.0,258052.0
195,01-2021,All Sexes,New York City,20133.0,15266.0,0.0,145144.0
196,01-2021,All Sexes,North Carolina,35141.0,32666.0,0.0,272332.0
197,01-2021,All Sexes,North Dakota,1904.0,2156.0,0.0,18249.0
198,01-2021,All Sexes,Ohio,46299.0,38242.0,17.0,335433.0
199,01-2021,All Sexes,Oklahoma,18108.0,14884.0,14.0,113052.0
200,01-2021,All Sexes,Oregon,9378.0,7145.0,0.0,100955.0
201,01-2021,All Sexes,Pennsylvania,45746.0,36236.0,28.0,350166.0
202,01-2021,All Sexes,Puerto Rico,3638.0,9698.0,0.0,74052.0
203,01-2021,All Sexes,Rhode Island,2472.0,2086.0,0.0,25634.0
204,01-2021,All Sexes,South Carolina,21906.0,14721.0,0.0,147991.0
205,01-2021,All Sexes,South Dakota,1962.0,2206.0,0.0,21224.0
206,01-2021,All Sexes,Tennessee,31990.0,28446.0,43.0,221133.0
207,01-2021,All Sexes,Texas,116642.0,97215.0,164.0,630479.0
208,01-2021,All Sexes,United States,1069992.0,940330.0,2525.0,7910948.0
209,01-2021,All Sexes,Utah,6073.0,5085.0,0.0,53762.0
210,01-2021,All Sexes,Vermont,494.0,619.0,0.0,14612.0
211,01-2021,All Sexes,Virginia,21451.0,16978.0,10.0,192880.0
212,01-2021,All Sexes,Washington,14048.0,15417.0,0.0,155204.0
213,01-2021,All Sexes,West Virginia,8695.0,8459.0,0.0,65648.0
214,01-2021,All Sexes,Wisconsin,13508.0,10085.0,0.0,136017.0
215,01-2021,All Sexes,Wyoming,1920.0,1577.0,0.0,13408.0
216,01-2021,Female,Alabama,10360.0,6550.0,0.0,71845.0
217,01-2021,Female,Alaska,506.0,320.0,0.0,5450.0
218,01-2021,Female,Arizona,13067.0,11089.0,0.0,81683.0
219,01-2021,Female,Arkansas,5236.0,4569.0,0.0,41857.0
220,01-2021,Female,California,44380.0,42068.0,0.0,335866.0
221,01-2021,Female,Colorado,5667.0,4753.0,0.0,49642.0
222,01-2021,Female,Connecticut,2954.0,2620.0,0.0,36128.0
223,01-2021,Female,Delaware,1047.0,921.0,0.0,11260.0
224,01-2021,Female,District of Columbia,513.0,580.0,0.0,7095.0
225,01-2021,Female,Florida,38633.0,38095.0,14.0,268559.0
226,01-2021,Female,Georgia,18418.0,14505.0,0.0,121419.0
227,01-2021,Female,Hawaii,511.0,778.0,0.0,12615.0
228,01-2021,Female,Idaho,2316.0,1825.0,0.0,18388.0
229,01-2021,Female,Illinois,11352.0,11734.0,0.0,127094.0
230,01-2021,Female,Indiana,10087.0,9153.0,0.0,83797.0
231,01-2021,Female,Iowa,3225.0,2791.0,0.0,35196.0
232,01-2021,Female,Kansas,3553.0,2971.0,0.0,32473.0
233,01-2021,Female,Kentucky,8949.0,8763.0,0.0,64338.0
234,01-2021,Female,Louisiana,6987.0,5665.0,0.0,59373.0
235,01-2021,Female,Maine,1232.0,896.0,0.0,17165.0
236,01-2021,Female,Maryland,6155.0,5524.0,0.0,61449.0
237,01-2021,Female,Massachusetts,4989.0,5213.0,0.0,67302.0
238,01-2021,Female,Michigan,14692.0,12586.0,0.0,120889.0
239,01-2021,Female,Minnesota,4631.0,3966.0,0.0,52985.0
240,01-2021,Female,Mississippi,6377.0,5616.0,0.0,43092.0
241,01-2021,Female,Missouri,9001.0,7947.0,0.0,80054.0
242,01-2021,Female,Montana,1485.0,1097.0,0.0,12309.0
243,01-2021,Female,Nebraska,1536.0,1618.0,0.0,19510.0
244,01-2021,Female,Nevada,4835.0,5256.0,0.0,32574.0
245,01-2021,Female,New Hampshire,955.0,781.0,0.0,14157.0
246,01-2021,Female,New Jersey,9222.0,8222.0,0.0,89259.0
247,01-2021,Female,New Mexico,3359.0,2830.0,0.0,24259.0
248,01-2021,Female,New York,14858.0,12907.0,0.0,123150.0
249,01-2021,Female,New York City,8660.0,6743.0,0.0,67537.0
250,01-2021,Female,North Carolina,15799.0,14467.0,0.0,126524.0
251,01-2021,Female,North Dakota,609.0,729.0,0.0,7749.0
252,01-2021,Female,Ohio,20848.0,16867.0,0.0,156415.0
253,01-2021,Female,Oklahoma,7817.0,6467.0,0.0,51361.0
254,01-2021,Female,Oregon,3886.0,2902.0,0.0,45463.0
255,01-2021,Female,Pennsylvania,20329.0,15855.0,20.0,163964.0
256,01-2021,Female,Puerto Rico,1507.0,4255.0,0.0,32125.0
257,01-2021,Female,Rhode Island,1014.0,767.0,0.0,12257.0
258,01-2021,Female,South Carolina,9608.0,6341.0,0.0,67313.0
259,01-2021,Female,South Dakota,750.0,764.0,0.0,9388.0
260,01-2021,Female,Tennessee,14301.0,12593.0,0.0,101062.0
261,01-2021,Female,Texas,47890.0,40577.0,20.0,281678.0
262,01-2021,Female,United States,461282.0,404767.0,1227.0,3612036.0
263,01-2021,Female,Utah,2058.0,1672.0,0.0,24281.0
264,01-2021,Female,Vermont,145.0,156.0,0.0,6444.0
265,01-2021,Female,Virginia,9798.0,7570.0,0.0,90203.0
266,01-2021,Female,Washington,5541.0,5995.0,0.0,70606.0
267,01-2021,Female,West Virginia,3655.0,3554.0,0.0,29738.0
268,01-2021,Female,Wisconsin,5675.0,4259.0,0.0,62921.0
269,01-2021,Female,Wyoming,724.0,595.0,0.0,5644.0
270,01-2021,Male,Alabama,12239.0,7835.0,0.0,83722.0
271,01-2021,Male,Alaska,1008.0,712.0,0.0,8500.0
272,01-2021,Male,Arizona,19312.0,16192.0,0.0,106875.0
273,01-2021,Male,Arkansas,6766.0,6010.0,0.0,50152.0
274,01-2021,Male,California,68052.0,63023.0,0.0,427503.0
275,01-2021,Male,Colorado,8324.0,7171.0,0.0,63030.0
276,01-2021,Male,Connecticut,3609.0,3157.0,0.0,40671.0
277,01-2021,Male,Delaware,1281.0,1128.0,0.0,13753.0
278,01-2021,Male,District of Columbia,604.0,636.0,0.0,9532.0
279,01-2021,Male,Florida,51393.0,50847.0,0.0,331073.0
280,01-2021,Male,Georgia,22153.0,17585.0,0.0,139746.0
281,01-2021,Male,Hawaii,766.0,1069.0,0.0,15736.0
282,01-2021,Male,Idaho,3525.0,2587.0,0.0,22447.0
283,01-2021,Male,Illinois,15133.0,15227.0,0.0,146786.0
284,01-2021,Male,Indiana,12439.0,12041.0,0.0,96843.0
285,01-2021,Male,Iowa,4240.0,3553.0,0.0,40008.0
286,01-2021,Male,Kansas,4672.0,3752.0,0.0,37359.0
287,01-2021,Male,Kentucky,10733.0,10347.0,0.0,75129.0
288,01-2021,Male,Louisiana,8944.0,7099.0,0.0,74415.0
289,01-2021,Male,Maine,1472.0,1420.0,0.0,20688.0
290,01-2021,Male,Maryland,7343.0,6787.0,0.0,69440.0
291,01-2021,Male,Massachusetts,6810.0,7070.0,0.0,74928.0
292,01-2021,Male,Michigan,19159.0,16656.0,0.0,141619.0
293,01-2021,Male,Minnesota,6592.0,5628.0,0.0,62032.0
294,01-2021,Male,Mississippi,7226.0,6624.0,0.0,50518.0
295,01-2021,Male,Missouri,11309.0,9658.0,0.0,94889.0
296,01-2021,Male,Montana,2174.0,1683.0,0.0,16069.0
297,01-2021,Male,Nebraska,2367.0,2356.0,0.0,22796.0
298,01-2021,Male,Nevada,8008.0,8153.0,0.0,45444.0
299,01-2021,Male,New Hampshire,1219.0,1032.0,0.0,16233.0
300,01-2021,Male,New Jersey,12064.0,10621.0,0.0,97894.0
301,01-2021,Male,New Mexico,4924.0,4288.0,0.0,32890.0
302,01-2021,Male,New York,17410.0,16086.0,0.0,134816.0
303,01-2021,Male,New York City,11217.0,8297.0,0.0,77497.0
304,01-2021,Male,North Carolina,19108.0,17999.0,0.0,145649.0
305,01-2021,Male,North Dakota,1107.0,1085.0,0.0,10058.0
306,01-2021,Male,Ohio,25208.0,21162.0,12.0,178851.0
307,01-2021,Male,Oklahoma,10070.0,8115.0,0.0,61568.0
308,01-2021,Male,Oregon,5209.0,4031.0,0.0,55305.0
309,01-2021,Male,Pennsylvania,25195.0,20127.0,0.0,186057.0
310,01-2021,Male,Puerto Rico,1848.0,5220.0,0.0,41642.0
311,01-2021,Male,Rhode Island,1181.0,990.0,0.0,13058.0
312,01-2021,Male,South Carolina,12066.0,8205.0,0.0,80565.0
313,01-2021,Male,South Dakota,1022.0,1047.0,0.0,11405.0
314,01-2021,Male,Tennessee,17526.0,15670.0,13.0,119860.0
315,01-2021,Male,Texas,68585.0,56465.0,36.0,348801.0
316,01-2021,Male,United States,608710.0,535563.0,1298.0,4298912.0
317,01-2021,Male,Utah,3724.0,3012.0,0.0,29292.0
318,01-2021,Male,Vermont,194.0,237.0,0.0,7774.0
319,01-2021,Male,Virginia,11427.0,9162.0,0.0,102542.0
320,01-2021,Male,Washington,8322.0,9180.0,0.0,84515.0
321,01-2021,Male,West Virginia,4790.0,4755.0,0.0,35611.0
322,01-2021,Male,Wisconsin,7601.0,5687.0,0.0,73029.0
323,01-2021,Male,Wyoming,991.0,755.0,0.0,7296.0
324,01-2022,All Sexes,Alabama,6497.0,3925.0,11.0,44573.0
325,01-2022,All Sexes,Alaska,323.0,216.0,0.0,3200.0
326,01-2022,All Sexes,Arizona,8748.0,7195.0,12.0,56159.0
327,01-2022,All Sexes,Arkansas,3922.0,3241.0,0.0,27869.0
328,01-2022,All Sexes,California,29455.0,27622.0,17.0,222963.0
329,01-2022,All Sexes,Colorado,4376.0,3447.0,17.0,33942.0
330,01-2022,All Sexes,Connecticut,3181.0,2418.0,0.0,23644.0
331,01-2022,All Sexes,Delaware,1158.0,959.0,0.0,7894.0
332,01-2022,All Sexes,District of Columbia,594.0,573.0,0.0,4779.0
333,01-2022,All Sexes,Florida,20209.0,19563.0,50.0,173002.0
334,01-2022,All Sexes,Georgia,10392.0,7689.0,45.0,70328.0
335,01-2022,All Sexes,Hawaii,552.0,641.0,0.0,8652.0
336,01-2022,All Sexes,Idaho,1400.0,1065.0,0.0,11746.0
337,01-2022,All Sexes,Illinois,12830.0,10534.0,0.0,90453.0
338,01-2022,All Sexes,Indiana,8649.0,6970.0,34.0,50273.0
339,01-2022,All Sexes,Iowa,2795.0,2184.0,27.0,23154.0
340,01-2022,All Sexes,Kansas,3541.0,2519.0,22.0,23397.0
341,01-2022,All Sexes,Kentucky,7290.0,6042.0,11.0,38917.0
342,01-2022,All Sexes,Louisiana,4164.0,3028.0,0.0,33181.0
343,01-2022,All Sexes,Maine,1201.0,831.0,0.0,12143.0
344,01-2022,All Sexes,Maryland,5854.0,4433.0,0.0,41140.0
345,01-2022,All Sexes,Massachusetts,5292.0,4342.0,15.0,45908.0
346,01-2022,All Sexes,Michigan,10399.0,8239.0,35.0,77485.0
347,01-2022,All Sexes,Minnesota,3858.0,2950.0,30.0,34360.0
348,01-2022,All Sexes,Mississippi,4666.0,3439.0,0.0,27525.0
349,01-2022,All Sexes,Missouri,7989.0,6331.0,36.0,52053.0
350,01-2022,All Sexes,Montana,874.0,747.0,0.0,7810.0
351,01-2022,All Sexes,Nebraska,1576.0,1316.0,0.0,12116.0
352,01-2022,All Sexes,Nevada,4032.0,4035.0,0.0,23641.0
353,01-2022,All Sexes,New Hampshire,897.0,824.0,0.0,10149.0
354,01-2022,All Sexes,New Jersey,9141.0,6587.0,0.0,61013.0
355,01-2022,All Sexes,New Mexico,2675.0,2149.0,0.0,16007.0
356,01-2022,All Sexes,New York,10865.0,9163.0,33.0,81963.0
357,01-2022,All Sexes,New York City,7885.0,5073.0,0.0,47261.0
358,01-2022,All Sexes,North Carolina,9757.0,7748.0,12.0,65033.0
359,01-2022,All Sexes,North Dakota,609.0,595.0,12.0,4904.0
360,01-2022,All Sexes,Ohio,17252.0,12708.0,41.0,100435.0
361,01-2022,All Sexes,Oklahoma,6472.0,5129.0,46.0,34625.0
362,01-2022,All Sexes,Oregon,3022.0,2070.0,0.0,28518.0
363,01-2022,All Sexes,Pennsylvania,15836.0,11542.0,85.0,109322.0
364,01-2022,All Sexes,Puerto Rico,1892.0,3668.0,0.0,22788.0
365,01-2022,All Sexes,Rhode Island,957.0,657.0,0.0,7898.0
366,01-2022,All Sexes,South Carolina,5878.0,4333.0,10.0,40629.0
367,01-2022,All Sexes,South Dakota,760.0,642.0,0.0,5860.0
368,01-2022,All Sexes,Tennessee,10188.0,8232.0,49.0,66157.0
369,01-2022,All Sexes,Texas,28435.0,23343.0,149.0,179026.0
370,01-2022,All Sexes,United States,333107.0,268946.0,2847.0,2333664.0
371,01-2022,All Sexes,Utah,1733.0,1310.0,0.0,16390.0
372,01-2022,All Sexes,Vermont,297.0,236.0,0.0,4173.0
373,01-2022,All Sexes,Virginia,8104.0,5606.0,12.0,58390.0
374,01-2022,All Sexes,Washington,4796.0,4567.0,0.0,45332.0
375,01-2022,All Sexes,West Virginia,3032.0,2889.0,0.0,19566.0
376,01-2022,All Sexes,Wisconsin,5086.0,3195.0,13.0,42647.0
